web-scraper-order,web-scraper-start-url,Type_habit,Prix,Adresse,Image_lien-src
"1739917822-1000","https://sn.coinafrique.com/categorie/vetements-enfants","Valise de maternité","Prix sur demande","Rufisque, Sénégal","https://images.coinafrique.com/thumb_2454758_uploaded_image1_1595077065.jpg"
"1739917822-1001","https://sn.coinafrique.com/categorie/vetements-enfants","Panier cadeau naissance","Prix sur demande","Rufisque, Sénégal","https://images.coinafrique.com/thumb_2454705_uploaded_image1_1595076484.jpg"
"1739917822-1002","https://sn.coinafrique.com/categorie/vetements-enfants","Vêtements enfants","4 500CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2453244_uploaded_image1_1595031125.jpg"
"1739917822-1003","https://sn.coinafrique.com/categorie/vetements-enfants","Vêtements enfants","4 500CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2453243_uploaded_image1_1595031083.jpg"
"1739917822-1004","https://sn.coinafrique.com/categorie/vetements-enfants","Vêtements enfants","4 500CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2448811_uploaded_image2_1594942797.jpeg"
"1739917822-1005","https://sn.coinafrique.com/categorie/vetements-enfants","Vêtements enfants","4 500CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2448810_uploaded_image1_1594942751.jpg"
"1739917822-1006","https://sn.coinafrique.com/categorie/vetements-enfants","Naf pour bébé","Prix sur demande","HLM, Dakar, Sénégal","https://images.coinafrique.com/thumb_2447755_uploaded_image1_1594920765.jpg"
"1739917822-1007","https://sn.coinafrique.com/categorie/vetements-enfants","Bandeaux  bébé","1 000CFA","HLM, Dakar, Sénégal","https://images.coinafrique.com/thumb_2447565_uploaded_image1_1594917079.jpg"
"1739917822-1008","https://sn.coinafrique.com/categorie/vetements-enfants","Vêtements  enfant","4 500CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2444795_uploaded_image1_1594859626.jpg"
"1739917822-1009","https://sn.coinafrique.com/categorie/vetements-enfants","Vêtements enfants","4 500CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2444775_uploaded_image2_1594859227.jpeg"
"1739917822-1010","https://sn.coinafrique.com/categorie/vetements-enfants","Vêtements  enfant","4 500CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2444774_uploaded_image1_1594859194.jpg"
"1739917822-1011","https://sn.coinafrique.com/categorie/vetements-enfants","Ensemble enfants","4 500CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2444771_uploaded_image1_1594859155.jpg"
"1739917822-1012","https://sn.coinafrique.com/categorie/vetements-enfants","Vêtements enfants","3 000CFA","Ouakam, Dakar, Sénégal","https://images.coinafrique.com/thumb_2443706_uploaded_image1_1594838314.jpg"
"1739917822-1013","https://sn.coinafrique.com/categorie/vetements-enfants","Vêtements  enfants et chaussures","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_2443702_uploaded_image1_1594838221.jpg"
"1739917822-1014","https://sn.coinafrique.com/categorie/vetements-enfants","Vêtements enfants","Prix sur demande","Ouakam, Dakar, Sénégal","https://images.coinafrique.com/thumb_2443683_uploaded_image1_1594837892.jpg"
